,name,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,diphenylamine,C1=CC=C(C=C1)NC2=CC=CC=C2,8.042592592592593,-0.7057303476946337,8.042592592592593,0.27814814814814826,0.7258030102508874,169.2270000000001,158.13899999999998,169.089149352,64,0,0.16650599552337475,-0.3555271921456535,0.3555271921456535,0.16650599552337475,0.7692307692307693,1.1538461538461537,1.5384615384615385,10.457591222469166,-0.09351931350517835,0.016010150245477042,-2.3231372646069075,0.19371995178181778,-2.187906044139961,2.2079537555861313,-0.4390719644275405,2.8354701375595166,720.3635865737243,18.505553499465137,17.44721359549996,6.447213595499958,11.017519627752554,8.894427190999917,3.447213595499958,2.0590169943749475,2.0590169943749475,1.1972135954999583,1.1972135954999583,0.7104101966249686,0.7104101966249686,-1.7599999999999993,132395.3558353358,2.1821971140030985,3.7642110484220974,2.089799938442597,93.55109164325329,5.309813353288376,0.0,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25451224597977,24.16967483065318,11.374772549367124,13.7075855617022,15.1194276400304,11.374772549367124,0.0,0.0,0.0,0.0,5.309813353288376,60.42418707663295,0.0,0.0,5.309813353288376,11.374772549367124,0.0,0.0,0.0,0.0,0.0,13.7075855617022,60.42418707663295,1.4118420783282006,0.0,0.0,12.03,71.79895962600008,0.0,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,0.0,15.1194276400304,84.7781523473587,0.0,0.0,0.27814814814814826,-1.195313681027966,0.0,-6.860986814478877,0.0,0.0,0.0,0.0,13,1,1,0,0,0,2,0,2,1,1,1,2,0,0,0,2,3.430200000000001,56.16670000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Irganox L-135,CCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,14.106955841429865,-5.6274936873018495,14.106955841429865,2.5567109631302785,0.14685485056604852,516.8509999999994,456.3710000000003,516.4542457800017,214,0,0.3056157110279339,-0.5073406919509584,0.5073406919509584,0.3056157110279339,0.8108108108108109,1.2702702702702702,1.7027027027027026,-7.056503294939377e-16,-0.24928511652004406,-4.407563999767098e-16,-2.750755626958655,-3.925827607465001e-16,-2.606233247319183,-2.655159569237515e-16,-1.1753790798170445,4.6834377549766675,2914.805804142752,79.95566544670048,78.2247448713916,18.22474487139159,41.013908098655676,38.974744871391586,9.066496580927726,5.820705769029128,5.820705769029128,3.063445993438513,3.063445993438513,1.7530505874892135,1.7530505874892135,-1.51,1.2276107490496464e+25,4.62995320266679,17.897995604168027,14.864753420430928,314.1039836725456,9.84567114490726,5.749511833283905,0.0,0.0,1.4311996572326342,5.969305287951849,4.794537184071822,0.0,0.0,0.0,149.26903085500766,40.2661852165433,81.76464549069149,12.042019467597168,95.51496314302204,5.969305287951849,1.4311996572326342,0.0,0.0,167.13294908246277,6.558985242916289,28.775191890417574,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,19.068298379207985,26.73430597799481,0.0,247.49515253147356,12.08483741532659,0.0,0.0,0.0,46.53,214.18594333703246,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,82.30595447127564,501.21579774114,0.0,14.106955841429865,4.203496513801742,-18.281937614194806,-6.060464661203025,-5.288935071342536,-91.44960023037537,-39.02864585258907,0.0,0.7941176470588235,37,1,3,0,0,0,1,0,1,3,1,3,21,0,0,0,1,10.334399999999993,159.71579999999972,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,agidol,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,8.436582577475434,-4.3959514361300105,8.436582577475434,1.7615277777777771,0.6909972184662643,220.3560000000002,196.16399999999996,220.182715388,90,0,0.29312448548932407,-0.5073406948944928,0.5073406948944928,0.29312448548932407,1.0625,1.5625,1.875,-3.150671326350306e-16,-0.249222888786549,-2.0502688641635353e-16,-2.656699800273327,-1.469516867760751e-16,-2.5747375992787194,-1.1918483753602704e-16,-1.096756498717469,5.252374041570713,949.9209121746683,32.6712083963243,31.908248290463863,7.908248290463863,17.1360810138141,15.862372435695795,3.9541241452319316,3.2041241452319316,3.2041241452319316,1.7041241452319316,1.7041241452319316,1.0478741452319316,1.0478741452319316,-0.98,22961126.569793735,1.9390608136136993,3.796604615588104,2.5766132168457063,133.3160781634171,5.1088081911072125,5.749511833283905,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,58.75964161079765,28.80877603948323,28.785929679574615,2.7415171123404405,36.636254983022276,0.0,1.4311996572326342,0.0,0.0,58.793225759863304,0.0,28.775191890417574,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,6.5400078483398465,10.82998093879356,6.851892117295679,89.32915397078006,12.08483741532659,0.0,0.0,0.0,20.23,93.31792948356478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,32.95864644914769,190.33125637755091,0.0,0.0,4.215154006046863,-14.577967687074834,-1.9909722222222215,-3.676110166288738,0.0,-29.551360308012104,0.0,0.6,16,1,1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,4.295620000000003,70.24380000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Irganox L-06,CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,9.356867021499957,-5.340396471088438,9.356867021499957,0.6311087490551781,0.4886263827151226,331.5029999999995,302.271,331.2299999280008,130,0,0.06449947478548484,-0.33531546055997385,0.33531546055997385,0.06449947478548484,0.84,1.52,2.24,3.577760235495111e-16,-0.24827068608198347,-2.139461418713547e-16,-2.792120448207501,-4.0296076686479815e-17,-2.7510866161048138,4.641665172976252e-16,-1.147239022109916,3.2092571623719808,1919.9604882721987,42.81495457622364,41.44721359549996,12.447213595499958,23.80021169820366,21.170820393249937,6.670820393249937,4.868033988749896,4.868033988749896,2.930533988749896,2.930533988749896,2.0966814395936524,2.0966814395936524,-2.2799999999999994,28469290163.599827,3.7141202528873403,6.553841814834765,3.869616925079752,192.5936769475389,4.899909730850478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93744472085669,49.0051799427722,45.602817471109034,16.44910267404264,39.75199812893639,22.147220978296716,0.0,0.0,5.41499046939678,46.17131074019112,4.899909730850478,72.50902449195954,0.0,0.0,4.899909730850478,11.374772549367124,0.0,0.0,5.538925252383345,0.0,5.41499046939678,80.38438361674416,72.50902449195954,0.0,10.772448428929591,0.0,3.24,151.14245641069468,2.7415171123404405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.010481016595946,246.5110488402457,0.0,-0.6311087490551781,-2.413540420026034,-13.811770190329225,0.0,-16.657528982903486,-5.340396471088438,-23.990037360176714,0.0,0.3333333333333333,25,0,1,0,0,0,3,0,3,1,0,1,6,0,0,0,3,7.192700000000007,110.68000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Irganox L-57,CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,9.044058513787721,-5.316601217897949,9.044058513787721,0.6326887282690858,0.5164497110524378,393.6589999999993,350.3150000000001,393.33955037600117,160,0,0.16650600030904905,-0.3555266469311776,0.3555266469311776,0.16650600030904905,0.6551724137931034,1.0,1.2758620689655173,-4.233603327533769e-16,-0.24929224578704876,-3.0848195228014045e-16,-2.7788311276464044,-2.7347237908537633e-16,-2.686833035668245,-2.0306889775982223e-16,-1.1537718123058214,3.645200847886822,2052.17736767274,58.50555349946514,57.44721359549996,14.447213595499958,30.94016935856293,28.894427190999917,7.447213595499958,5.809016994374948,5.809016994374948,2.9472135954999583,2.9472135954999583,1.8979101966249683,1.8979101966249683,-1.7599999999999993,14689272250769.654,3.6956168881017155,8.167654142050925,7.21096538595084,240.3492214789689,5.309813353288376,0.0,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.68859600360997,69.70238949429304,57.98056345915466,10.96606844936176,58.98370143747749,11.374772549367124,0.0,0.0,10.82998093879356,92.0947519144091,5.309813353288376,59.46625264470035,0.0,0.0,5.309813353288376,11.374772549367124,0.0,0.0,0.0,10.82998093879356,10.82998093879356,149.96353331815862,48.33934966130636,1.4118420783282006,0.0,0.0,12.03,179.07557140055854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98370143747749,361.37069922793467,0.0,0.0,-0.6326887282690858,-28.535372828483247,0.0,-16.49825563105582,-10.633202435795894,-48.07117960433076,0.0,0.5714285714285714,29,1,1,0,0,0,2,0,2,1,1,1,10,0,0,0,2,8.857800000000003,130.36270000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Irganox L-67,CCCCCCCCCc1ccccc1Nc1ccccc1CCCCCCCCC,9.14721274564088,-5.1538364061748325,9.14721274564088,0.8439487643443067,0.23600351325677638,421.7129999999993,374.33700000000016,421.3708505040013,172,0,0.16652510771976292,-0.35507674788531435,0.35507674788531435,0.16652510771976292,0.6129032258064516,1.0,1.4516129032258065,-1.4814230076688959e-15,-0.24929250624410113,-3.2116391282667584e-16,-2.7141886627405674,-3.505249374886525e-16,-2.570834778540993,-3.6428083244443266e-16,-1.1632479530220408,3.332166127622472,2445.4720271057363,63.50555349946514,62.44721359549996,15.447213595499958,33.440169358562926,31.394427190999917,7.947213595499958,4.559016994374948,4.559016994374948,2.684016994374948,2.684016994374948,1.5722135954999583,1.5722135954999583,-1.7599999999999993,309688325621184.94,3.908608956165334,16.873574735138718,10.897943067033978,258.69898770843344,5.309813353288376,0.0,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.43339529652371,48.70344000403809,63.46359768383555,10.96606844936176,64.46673566215838,11.374772549367124,0.0,0.0,0.0,115.67058265586145,5.309813353288376,59.46625264470035,0.0,0.0,5.309813353288376,11.374772549367124,0.0,0.0,0.0,12.745849802658759,0.0,177.10652942042663,48.33934966130636,1.4118420783282006,0.0,0.0,12.03,191.82142120321737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.46673566215838,390.6442754655311,0.0,0.0,-0.8439487643443067,-8.492446200261304,0.0,-14.360917622105154,-79.04268977244419,-8.40427310637616,0.0,0.6,31,1,1,0,0,0,2,0,2,1,1,1,20,0,0,0,2,10.016399999999996,139.56069999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
