,diphenylamine,Irganox L-135,agidol,Irganox L-06,Irganox L-57,Irganox L-67,"PDSC 210С, мин",TPSA,PEOE_VSA9,VSA_EState6,MolMR,PEOE_VSA7,BCUT2D_MWLOW,BCUT2D_LOGPLOW,Chi2v,FpDensityMorgan3,VSA_EState4,TPSA_1,PEOE_VSA9_1,VSA_EState6_1,MolMR_1,PEOE_VSA7_1,BCUT2D_MWLOW_1,BCUT2D_LOGPLOW_1,Chi2v_1,FpDensityMorgan3_1,VSA_EState4_1
0,0.3,0.3,0.0,0.0,0.0,0.0,8.9,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806
1,0.9,0.3,0.0,0.0,0.0,0.0,18.7,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806
2,0.3,0.9,0.0,0.0,0.0,0.0,18.9,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806
3,0.9,0.9,0.0,0.0,0.0,0.0,25.9,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806
4,0.3,0.0,0.3,0.0,0.0,0.0,14.2,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,20.23,2.7415171123404405,-3.676110166288738,70.24380000000005,28.80877603948323,-0.249222888786549,-2.57473759927872,3.204124145231932,1.875,-14.577967687074834
5,0.9,0.0,0.3,0.0,0.0,0.0,18.9,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,20.23,2.7415171123404405,-3.676110166288738,70.24380000000005,28.80877603948323,-0.249222888786549,-2.57473759927872,3.204124145231932,1.875,-14.577967687074834
6,0.3,0.0,0.9,0.0,0.0,0.0,18.5,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,20.23,2.7415171123404405,-3.676110166288738,70.24380000000005,28.80877603948323,-0.249222888786549,-2.57473759927872,3.204124145231932,1.875,-14.577967687074834
7,0.9,0.0,0.9,0.0,0.0,0.0,22.3,12.03,13.7075855617022,-6.860986814478877,56.16670000000003,24.16967483065318,-0.0935193135051783,-2.187906044139961,2.0590169943749475,1.5384615384615383,-1.195313681027966,20.23,2.7415171123404405,-3.676110166288738,70.24380000000005,28.80877603948323,-0.249222888786549,-2.57473759927872,3.204124145231932,1.875,-14.577967687074834
8,0.0,0.3,0.0,0.3,0.0,0.0,15.6,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806,3.24,16.44910267404264,-16.657528982903486,110.68000000000004,49.0051799427722,-0.2482706860819834,-2.7510866161048138,4.868033988749896,2.24,-13.811770190329224
9,0.0,0.3,0.0,0.9,0.0,0.0,37.9,46.53,12.042019467597168,-5.288935071342536,159.71579999999972,40.2661852165433,-0.249285116520044,-2.606233247319183,5.820705769029128,1.7027027027027026,-18.281937614194806,3.24,16.44910267404264,-16.657528982903486,110.68000000000004,49.0051799427722,-0.2482706860819834,-2.7510866161048138,4.868033988749896,2.24,-13.811770190329224
